"","A","B","C","D","E"
"2863","a","a","a","c","a"
"2864","a","a","a","a","a"
"2865","c","a","a","c","a"
"2866","a","a","b","c","b"
"2867","a","a","b","b","a"
"2868","c","c","a","c","c"
"2869","b","a","b","c","c"
"2870","b","c","a","b","b"
"2871","b","c","c","b","c"
"2872","b","a","a","b","a"
"2873","c","c","a","c","c"
"2874","b","c","a","b","b"
"2875","a","a","a","a","a"
"2876","a","a","a","a","b"
"2877","b","c","a","b","b"
"2878","b","a","a","b","a"
"2879","c","c","b","a","c"
"2880","c","c","b","b","c"
"2881","a","a","a","a","a"
"2882","a","a","a","a","a"
"2883","c","a","a","c","a"
"2884","b","a","b","a","a"
"2885","c","c","a","c","b"
"2886","a","a","a","a","a"
"2887","a","a","a","a","b"
"2888","b","c","a","b","c"
"2889","a","a","c","c","a"
"2890","c","c","b","c","c"
"2891","b","a","a","b","b"
"2892","c","c","a","c","b"
"2893","a","a","a","a","a"
"2894","a","a","a","a","a"
"2895","c","c","a","c","c"
"2896","b","a","b","a","a"
"2897","b","a","a","b","a"
"2898","a","a","a","a","a"
"2899","c","a","b","b","b"
"2900","b","a","a","b","b"
"2901","c","c","a","a","a"
"2902","b","c","a","b","c"
"2903","c","c","a","c","a"
"2904","a","c","a","a","b"
"2905","c","c","b","a","c"
"2906","a","a","a","a","a"
"2907","b","c","a","b","a"
"2908","b","c","a","b","b"
"2909","b","a","b","a","b"
"2910","c","c","a","c","b"
"2911","a","a","a","a","b"
"2912","a","a","a","a","b"
"2913","a","a","a","a","a"
"2914","c","c","a","a","b"
"2915","a","a","b","c","a"
"2916","b","a","a","c","a"
"2917","a","c","b","b","c"
"2918","c","c","a","c","b"
"2919","a","c","a","a","b"
"2920","b","a","a","c","a"
"2921","b","c","a","b","c"
"2922","c","c","a","c","c"
"2923","a","a","b","b","a"
"2924","c","c","a","c","b"
"2925","a","a","b","c","a"
"2926","c","c","a","b","c"
"2927","a","a","a","b","a"
"2928","a","a","a","a","b"
"2929","a","a","a","b","a"
"2930","b","c","a","b","b"
"2931","c","c","b","b","c"
"2932","c","b","a","c","c"
"2933","c","c","a","c","c"
"2934","c","c","a","b","a"
"2935","b","b","a","b","a"
"2936","a","a","a","b","a"
"2937","b","b","a","b","b"
"2938","a","a","b","c","c"
"2939","c","c","c","c","b"
"2940","c","c","b","a","b"
"2941","c","c","b","b","b"
"2942","c","b","a","c","c"
"2943","a","a","a","a","b"
"2944","c","c","a","c","b"
"2945","b","a","a","b","b"
"2946","a","a","a","b","b"
"2947","c","b","a","c","c"
"2948","c","b","b","c","b"
"2949","b","b","a","b","c"
"2950","a","a","a","a","a"
"2951","b","a","a","b","a"
"2952","c","c","a","c","a"
"2953","a","a","a","a","b"
"2954","b","a","a","a","a"
"2955","c","c","b","c","c"
"2956","a","a","a","a","a"
"2957","a","a","a","a","a"
"2958","c","c","a","c","c"
"2959","b","a","a","b","c"
"2960","c","b","b","a","b"
"2961","b","b","a","c","b"
"2962","c","c","a","c","b"
"2963","a","a","a","a","b"
"2964","c","c","b","a","c"
"2965","c","c","b","b","c"
"2966","b","c","a","b","b"
"2967","a","a","a","a","b"
"2968","b","c","a","b","a"
"2969","c","c","b","b","c"
"2970","c","c","a","a","b"
"2971","a","a","a","a","b"
"2972","c","c","a","b","c"
"2973","b","a","a","c","c"
"2974","c","c","a","b","b"
"2975","b","b","a","b","b"
"2976","b","c","a","a","c"
"2977","c","c","a","c","b"
"2978","c","c","a","c","c"
"2979","a","a","b","c","a"
"2980","a","a","a","a","a"
"2981","a","a","a","a","b"
"2982","b","a","b","a","b"
"2983","a","c","a","a","b"
"2984","a","a","a","a","a"
"2985","b","a","a","b","a"
"2986","a","a","a","c","a"
"2987","b","c","a","b","b"
"2988","c","c","a","c","b"
"2989","a","a","a","a","a"
"2990","b","a","a","b","c"
"2991","a","a","b","c","c"
"2992","b","c","a","b","c"
"2993","c","c","a","c","b"
"2994","a","a","a","a","a"
"2995","c","c","a","c","c"
"2996","a","a","a","a","b"
"2997","c","c","a","c","c"
"2998","b","b","a","b","a"
"2999","b","c","a","b","c"
"3000","a","a","a","a","b"
"3001","a","a","a","a","b"
"3002","b","c","a","b","c"
"3003","c","c","a","c","c"
"3004","a","a","a","a","a"
"3005","a","a","c","a","a"
"3006","a","a","a","a","a"
"3007","b","a","b","a","a"
"3008","a","a","a","b","a"
"3009","c","c","a","c","a"
"3010","b","c","a","b","a"
"3011","c","c","a","b","a"
"3012","a","a","a","b","b"
"3013","b","c","a","b","b"
"3014","c","c","b","a","c"
"3015","b","b","a","b","c"
"3016","a","a","a","c","a"
"3017","a","c","a","c","a"
"3018","b","a","a","b","b"
"3019","a","a","b","c","b"
"3020","a","a","b","a","b"
"3021","c","b","a","c","a"
"3022","c","c","a","c","c"
"3023","c","c","a","a","c"
"3024","a","a","b","c","b"
"3025","b","a","b","a","a"
"3026","b","a","b","a","a"
"3027","b","c","a","a","c"
"3028","b","a","b","a","a"
"3029","a","a","a","a","a"
"3030","c","c","b","b","a"
"3031","c","c","a","a","a"
"3032","c","c","a","b","a"
"3033","b","a","a","b","a"
"3034","a","a","b","a","b"
"3035","c","a","a","a","b"
"3036","a","a","a","c","a"
"3037","c","b","a","a","a"
"3038","b","a","a","b","b"
"3039","b","c","a","b","c"
"3040","c","a","a","c","b"
"3041","c","c","a","a","c"
"3042","a","a","a","a","a"
"3043","a","c","a","a","c"
"3044","c","c","a","c","c"
"3045","c","c","a","c","c"
"3046","a","a","a","c","b"
"3047","b","b","a","b","a"
"3048","a","a","a","a","a"
"3049","c","c","a","c","a"
"3050","a","a","b","c","a"
"3051","b","a","b","a","b"
"3052","b","a","a","b","a"
"3053","c","b","a","a","b"
"3054","b","a","b","a","a"
"3055","a","a","a","a","a"
"3056","a","c","a","a","c"
"3057","b","c","a","c","b"
"3058","b","c","a","c","c"
"3059","b","a","a","b","c"
"3060","a","a","a","a","a"
"3061","c","c","a","c","c"
"3062","b","b","a","b","c"
"3063","a","a","a","a","a"
"3064","c","c","a","c","c"
"3065","c","a","a","c","b"
"3066","a","a","a","a","a"
"3067","b","a","a","b","b"
"3068","a","a","a","b","a"
"3069","b","c","a","b","c"
"3070","c","a","a","b","b"
"3071","c","c","a","c","c"
"3072","a","a","a","a","a"
"3073","b","a","a","a","a"
"3074","a","a","c","a","c"
"3075","c","c","a","c","b"
"3076","a","c","a","a","c"
"3077","c","c","a","c","b"
"3078","a","a","a","c","c"
"3079","a","a","a","b","a"
"3080","b","a","a","c","a"
"3081","c","a","a","c","b"
"3082","a","a","b","a","a"
"3083","b","a","a","b","c"
"3084","b","c","a","b","c"
"3085","c","c","b","b","c"
"3086","c","c","a","a","a"
"3087","b","c","b","a","b"
"3088","a","a","a","a","a"
"3089","c","c","a","c","b"
"3090","a","c","a","a","b"
"3091","a","a","b","b","a"
"3092","a","a","a","a","b"
"3093","a","a","a","a","a"
"3094","a","a","a","a","b"
"3095","b","a","a","b","a"
"3096","b","a","a","b","a"
"3097","b","c","a","b","a"
"3098","b","b","a","b","b"
"3099","c","c","a","c","c"
"3100","c","c","a","c","b"
"3101","b","c","a","b","b"
"3102","a","a","a","a","a"
"3103","a","a","a","a","b"
"3104","a","a","a","a","a"
"3105","a","a","a","a","b"
"3106","a","a","a","a","a"
"3107","a","a","c","b","c"
"3108","a","a","b","a","b"
"3109","b","a","a","b","a"
"3110","c","c","a","c","b"
"3111","c","a","a","c","c"
"3112","b","b","b","a","b"
"3113","b","a","a","c","a"
"3114","a","c","a","a","a"
"3115","b","a","a","b","b"
"3116","c","c","a","b","c"
"3117","a","a","a","c","c"
"3118","c","c","b","b","b"
"3119","c","c","a","c","b"
"3120","c","a","a","c","b"
"3121","a","a","b","a","a"
"3122","b","a","a","b","b"
"3123","c","c","b","b","c"
"3124","b","c","b","a","c"
"3125","a","a","a","a","a"
"3126","b","a","b","b","b"
"3127","c","c","a","c","c"
"3128","a","a","b","a","a"
"3129","a","a","a","b","a"
"3130","a","a","a","a","a"
"3131","b","a","a","b","a"
"3132","c","c","a","c","b"
"3133","b","c","c","c","b"
"3134","b","c","a","a","c"
"3135","c","c","c","b","c"
"3136","b","b","b","b","b"
"3137","b","a","a","b","c"
"3138","c","c","b","b","a"
"3139","a","b","a","a","a"
"3140","c","c","a","c","c"
"3141","c","c","a","c","b"
"3142","c","c","a","c","c"
"3143","b","c","a","c","c"
"3144","b","c","a","b","a"
"3145","c","c","a","a","b"
"3146","a","c","a","a","b"
"3147","c","c","b","c","c"
"3148","c","b","a","c","a"
"3149","c","c","a","b","c"
"3150","c","c","a","c","b"
"3151","c","b","b","b","b"
"3152","a","a","a","b","b"
"3153","c","a","a","c","a"
"3154","b","c","a","b","b"
"3155","a","c","a","b","c"
"3156","b","b","b","a","c"
"3157","a","a","a","a","a"
"3158","b","b","a","a","b"
"3159","b","c","c","a","c"
"3160","b","b","a","b","a"
"3161","a","a","a","a","b"
"3162","c","c","b","b","b"
"3163","b","a","a","c","b"
"3164","b","c","a","b","c"
"3165","b","c","a","b","c"
"3166","a","a","a","b","b"
"3167","b","a","b","a","b"
"3168","c","c","a","c","c"
"3169","c","c","a","c","b"
"3170","c","a","a","b","a"
"3171","c","c","b","b","b"
"3172","b","c","a","b","b"
"3173","c","c","a","c","b"
"3174","b","a","a","a","a"
"3175","a","a","a","a","a"
"3176","a","a","a","a","a"
"3177","c","c","a","c","b"
"3178","b","b","a","b","a"
"3179","a","a","a","a","a"
"3180","a","a","b","c","a"
"3181","b","c","a","b","c"
"3182","c","c","a","c","c"
"3183","c","a","a","c","a"
"3184","a","a","a","a","a"
"3185","a","c","a","a","c"
"3186","a","a","b","c","b"
"3187","c","c","a","c","a"
"3188","c","c","a","c","a"
"3189","b","c","a","b","c"
"3190","c","c","b","c","b"
"3191","b","b","a","b","c"
"3192","b","c","a","b","a"
"3193","c","c","a","c","c"
"3194","a","a","c","c","a"
"3195","a","c","a","a","b"
"3196","c","c","b","c","c"
"3197","c","c","b","b","c"
"3198","c","c","a","c","c"
"3199","a","a","a","a","a"
"3200","c","b","a","c","c"
"3201","b","b","b","a","c"
"3202","a","a","a","a","b"
"3203","c","c","b","b","a"
"3204","a","a","b","c","a"
"3205","b","c","a","b","b"
"3206","b","c","a","b","b"
"3207","a","a","a","a","b"
"3208","c","c","a","c","b"
"3209","a","c","a","a","b"
"3210","a","a","a","a","c"
"3211","c","a","a","c","a"
"3212","a","a","a","a","a"
"3213","c","c","a","c","a"
"3214","c","c","b","b","c"
"3215","a","c","a","a","c"
"3216","a","a","a","a","b"
"3217","a","c","b","c","b"
"3218","a","a","a","a","b"
"3219","b","c","a","a","c"
"3220","b","a","a","c","c"
"3221","a","c","a","a","c"
"3222","c","c","a","c","c"
"3223","a","a","a","a","b"
"3224","c","c","a","c","c"
"3225","a","c","a","a","c"
"3226","c","c","a","c","c"
"3227","b","a","a","b","a"
"3228","b","c","a","b","b"
"3229","a","a","a","a","a"
"3230","b","b","b","a","b"
"3231","a","a","b","a","b"
"3232","c","c","b","a","b"
"3233","a","a","a","c","c"
"3234","c","b","b","a","a"
"3235","c","c","a","c","c"
"3236","a","a","a","b","a"
"3237","a","a","a","a","a"
"3238","b","a","a","b","b"
"3239","a","a","a","a","a"
"3240","c","c","b","b","c"
"3241","b","c","c","b","b"
"3242","c","c","a","c","c"
"3243","c","a","a","a","a"
"3244","a","a","a","a","b"
"3245","a","a","a","a","a"
"3246","a","a","a","a","a"
"3247","c","c","a","b","c"
"3248","b","a","c","b","a"
"3249","b","c","a","b","b"
"3250","a","a","a","a","b"
"3251","a","c","a","c","c"
"3252","c","c","b","c","c"
"3253","a","a","b","c","a"
"3254","c","c","a","a","c"
"3255","a","a","a","a","a"
"3256","a","a","a","a","a"
"3257","b","c","a","b","c"
"3258","b","b","a","b","b"
"3259","b","c","a","c","c"
"3260","c","c","c","b","c"
"3261","b","b","a","b","c"
"3262","b","c","a","b","b"
"3263","b","b","b","a","c"
"3264","a","a","a","a","a"
"3265","a","a","a","c","a"
"3266","a","a","b","c","c"
"3267","b","b","a","b","c"
"3268","c","c","b","b","b"
"3269","c","c","a","c","c"
"3270","c","c","a","a","a"
"3271","a","b","a","a","b"
"3272","c","c","a","c","c"
"3273","c","c","a","c","c"
"3274","a","a","a","a","b"
"3275","b","c","a","b","b"
"3276","c","c","a","c","c"
"3277","b","c","a","c","a"
"3278","c","c","a","c","c"
"3279","a","a","a","b","a"
"3280","c","b","a","c","c"
"3281","b","a","a","b","a"
"3282","c","c","b","b","c"
"3283","b","b","b","a","c"
"3284","b","c","a","b","c"
"3285","b","a","a","b","a"
"3286","c","a","a","c","b"
"3287","a","c","a","a","c"
"3288","b","b","a","a","c"
"3289","b","b","b","a","b"
"3290","b","a","a","b","a"
"3291","c","c","a","c","b"
"3292","c","b","a","c","b"
"3293","b","a","a","b","a"
"3294","a","a","a","a","a"
"3295","b","c","a","b","c"
"3296","b","c","a","b","a"
"3297","c","a","a","b","c"
"3298","c","c","a","c","c"
"3299","c","c","a","c","b"
"3300","a","a","a","a","b"
"3301","b","c","a","b","c"
"3302","b","c","a","c","b"
"3303","b","c","b","a","c"
"3304","c","c","a","c","c"
"3305","a","a","a","a","b"
"3306","b","b","a","b","c"
"3307","a","a","a","b","b"
"3308","c","c","b","b","b"
"3309","c","c","a","c","c"
"3310","a","a","a","a","c"
"3311","c","c","a","c","c"
"3312","a","a","a","a","a"
"3313","a","c","b","b","c"
"3314","b","c","a","b","c"
"3315","c","c","b","b","a"
"3316","c","c","a","b","b"
"3317","c","c","a","c","c"
"3318","c","c","a","c","b"
"3319","a","c","a","a","c"
"3320","c","c","a","c","a"
"3321","b","a","a","b","a"
"3322","b","c","a","b","c"
"3323","a","a","a","a","b"
"3324","a","a","b","a","a"
"3325","c","c","a","c","c"
"3326","a","a","a","b","a"
"3327","b","a","a","b","a"
"3328","a","a","a","a","a"
"3329","c","a","a","a","a"
"3330","b","a","a","b","b"
"3331","a","b","a","c","b"
"3332","c","c","a","c","b"
"3333","a","a","c","a","a"
"3334","a","a","a","a","b"
"3335","c","c","b","b","a"
"3336","c","a","a","c","a"
"3337","b","a","a","b","a"
"3338","c","b","b","b","c"
"3339","b","b","a","b","a"
"3340","c","b","b","a","c"
"3341","a","a","a","a","a"
"3342","c","b","a","c","c"
"3343","b","c","a","b","c"
"3344","b","b","a","b","a"
"3345","b","a","a","b","a"
"3346","b","a","a","c","b"
"3347","c","c","a","c","b"
"3348","a","a","b","c","b"
"3349","a","a","a","a","a"
"3350","a","a","a","a","a"
"3351","a","a","b","c","a"
"3352","c","c","c","b","c"
"3353","b","a","a","b","c"
"3354","c","c","a","c","c"
"3355","c","c","a","c","c"
"3356","c","b","a","c","c"
"3357","b","a","a","b","a"
"3358","c","c","a","c","c"
"3359","c","c","a","c","c"
"3360","a","a","b","c","b"
"3361","b","c","a","b","a"
"3362","c","c","a","c","b"
"3363","c","c","a","c","c"
"3364","c","c","a","b","b"
"3365","b","a","a","a","a"
"3366","c","c","b","c","c"
"3367","c","c","a","c","b"
"3368","c","c","b","a","a"
"3369","b","a","b","a","b"
"3370","b","a","a","b","a"
"3371","c","c","a","c","b"
"3372","b","b","b","b","c"
"3373","b","a","a","c","b"
"3374","b","c","a","b","c"
"3375","b","c","b","a","b"
"3376","c","c","a","c","c"
"3377","b","b","c","c","a"
"3378","a","a","a","a","a"
"3379","a","a","b","c","a"
"3380","a","a","a","a","b"
"3381","c","c","a","c","c"
"3382","c","c","a","c","c"
"3383","a","a","a","a","a"
"3384","a","b","b","c","a"
"3385","b","c","a","b","c"
"3386","c","c","a","c","b"
"3387","b","c","b","a","a"
"3388","b","b","a","b","a"
"3389","b","b","b","a","b"
"3390","b","b","a","b","c"
"3391","a","a","a","a","a"
"3392","c","c","a","a","c"
"3393","b","b","a","b","a"
"3394","a","a","a","a","c"
"3395","a","a","a","a","a"
"3396","c","c","a","c","c"
"3397","a","a","a","a","a"
"3398","b","a","a","b","a"
"3399","c","c","b","a","c"
"3400","c","c","a","c","b"
"3401","b","c","a","b","c"
"3402","a","a","a","a","a"
"3403","a","a","a","a","a"
"3404","b","c","a","c","b"
"3405","a","a","a","a","a"
"3406","c","c","a","b","a"
"3407","b","a","b","a","a"
"3408","c","c","a","c","c"
"3409","a","c","b","c","c"
"3410","c","c","b","b","c"
"3411","b","a","a","b","b"
"3412","c","c","a","c","b"
"3413","c","c","a","c","c"
"3414","b","a","a","a","a"
"3415","c","c","a","c","b"
"3416","c","a","a","c","a"
"3417","b","b","a","b","b"
"3418","a","c","a","a","a"
"3419","b","c","a","b","c"
"3420","b","b","a","b","c"
"3421","c","c","a","c","c"
"3422","b","c","b","a","c"
"3423","c","c","a","c","b"
"3424","a","a","a","c","a"
"3425","a","a","a","a","b"
"3426","a","a","a","c","b"
"3427","c","c","a","c","b"
"3428","a","a","b","c","c"
"3429","c","c","a","c","a"
"3430","a","a","a","a","b"
"3431","c","c","a","c","c"
"3432","a","a","c","a","b"
"3433","c","a","c","b","b"
"3434","c","c","a","c","a"
"3435","c","c","a","c","c"
"3436","b","b","a","a","c"
"3437","a","a","a","a","a"
"3438","a","a","a","a","a"
"3439","c","c","a","c","c"
"3440","b","a","a","b","b"
"3441","b","a","b","a","a"
"3442","c","c","a","b","c"
"3443","b","c","a","b","c"
"3444","c","c","a","a","c"
"3445","a","a","b","c","a"
"3446","a","a","a","a","a"
"3447","c","c","c","c","c"
"3448","c","c","a","c","c"
"3449","c","c","a","c","c"
"3450","b","b","a","b","c"
"3451","c","b","a","c","b"
"3452","c","c","b","a","a"
"3453","a","a","a","b","a"
"3454","b","b","a","b","c"
"3455","a","a","a","b","a"
"3456","b","a","a","c","a"
"3457","b","c","a","b","a"
"3458","a","a","a","a","a"
"3459","b","a","a","b","c"
"3460","c","c","a","c","b"
"3461","c","c","a","c","a"
"3462","c","c","a","a","c"
"3463","c","c","a","b","b"
"3464","a","c","b","c","c"
"3465","b","c","a","b","a"
"3466","b","a","a","a","a"
"3467","a","a","a","a","a"
"3468","b","c","a","b","c"
"3469","b","a","a","c","b"
"3470","b","a","b","a","b"
"3471","c","c","a","b","c"
"3472","a","a","a","a","a"
"3473","b","a","a","c","b"
"3474","a","a","a","a","a"
"3475","c","c","a","c","c"
"3476","c","c","a","c","c"
"3477","b","a","a","b","b"
"3478","c","c","a","c","c"
"3479","c","c","a","c","a"
"3480","a","a","b","c","b"
"3481","c","c","a","c","c"
"3482","a","a","a","a","b"
"3483","c","c","a","c","a"
"3484","b","c","a","b","b"
"3485","b","b","b","a","a"
"3486","c","a","b","b","a"
"3487","a","a","b","c","a"
"3488","c","c","b","b","b"
"3489","c","c","b","b","c"
"3490","b","c","a","b","b"
"3491","b","a","b","a","c"
"3492","a","a","a","a","a"
"3493","c","c","a","c","b"
"3494","b","b","a","b","c"
"3495","b","b","a","a","b"
"3496","a","a","b","c","a"
"3497","b","b","a","b","b"
"3498","b","a","b","a","a"
"3499","b","a","b","a","a"
"3500","a","a","b","c","b"
"3501","b","a","a","b","b"
"3502","b","c","c","a","c"
"3503","b","c","a","b","a"
"3504","b","a","a","b","a"
"3505","c","c","a","c","a"
"3506","a","a","a","b","a"
"3507","c","c","b","b","c"
"3508","b","a","c","a","a"
"3509","b","c","a","a","b"
"3510","c","a","a","c","a"
"3511","a","a","a","c","a"
"3512","c","c","a","c","c"
"3513","a","a","a","a","a"
"3514","a","c","a","a","c"
"3515","c","c","a","c","b"
"3516","a","a","a","a","b"
"3517","a","a","a","a","a"
"3518","b","c","a","b","a"
"3519","b","a","a","c","b"
"3520","c","c","a","a","b"
"3521","b","a","c","b","a"
"3522","c","c","a","c","c"
"3523","a","a","c","c","b"
"3524","c","c","a","c","b"
"3525","a","c","a","a","c"
"3526","b","a","a","b","a"
"3527","c","c","a","c","c"
"3528","a","a","a","a","a"
"3529","b","a","a","b","b"
"3530","a","a","b","c","a"
"3531","a","a","a","b","a"
"3532","a","c","b","c","c"
"3533","c","b","b","b","c"
"3534","b","c","a","b","b"
"3535","c","c","a","c","b"
"3536","c","c","a","c","c"
"3537","c","c","a","c","b"
"3538","a","a","a","a","a"
"3539","b","a","a","c","a"
"3540","c","c","a","b","c"
"3541","a","a","a","a","a"
"3542","c","b","a","a","c"
"3543","a","a","a","a","a"
"3544","b","a","b","c","a"
"3545","c","c","a","c","c"
"3546","b","b","b","a","a"
"3547","c","c","a","c","a"
"3548","c","c","b","c","a"
"3549","a","a","a","a","a"
"3550","a","a","b","c","b"
"3551","c","b","b","a","a"
"3552","c","a","b","c","a"
"3553","b","c","b","a","c"
"3554","b","b","b","a","a"
"3555","a","a","b","c","a"
"3556","b","a","b","a","a"
"3557","a","a","b","c","b"
"3558","b","a","a","b","a"
"3559","a","a","a","a","b"
"3560","a","a","a","a","c"
"3561","c","c","b","b","a"
"3562","c","c","b","b","b"
"3563","c","c","a","c","c"
"3564","b","b","a","b","a"
"3565","a","c","a","a","c"
"3566","b","c","a","c","c"
"3567","b","a","a","b","c"
"3568","a","b","a","a","b"
"3569","b","a","b","a","a"
"3570","a","a","a","a","a"
"3571","a","a","a","a","a"
"3572","b","a","a","a","a"
"3573","b","c","a","b","c"
"3574","a","a","b","c","a"
"3575","c","c","b","b","b"
"3576","b","a","a","b","a"
"3577","a","a","a","c","c"
"3578","b","c","a","b","b"
"3579","c","b","b","a","c"
"3580","a","a","a","c","a"
"3581","c","c","b","b","a"
"3582","a","a","a","c","a"
"3583","b","c","a","b","c"
"3584","a","a","a","a","a"
"3585","c","c","a","c","c"
"3586","a","a","c","c","b"
"3587","a","a","a","a","a"
"3588","b","a","a","b","a"
"3589","c","c","c","c","a"
"3590","a","a","a","a","a"
"3591","b","c","b","c","c"
"3592","b","b","a","b","a"
"3593","a","a","b","c","b"
"3594","a","a","a","a","a"
"3595","b","c","a","c","b"
"3596","c","c","b","b","a"
"3597","b","a","a","c","a"
"3598","b","a","b","a","b"
"3599","c","c","a","c","b"
"3600","b","c","a","b","c"
"3601","b","a","b","a","a"
"3602","b","c","a","b","c"
"3603","c","c","a","c","a"
"3604","b","b","c","c","c"
"3605","a","a","a","a","b"
"3606","b","b","a","b","b"
"3607","c","b","b","b","b"
"3608","b","c","b","a","c"
"3609","a","a","a","a","b"
"3610","b","c","b","a","b"
"3611","c","c","a","c","b"
"3612","b","c","a","b","b"
"3613","b","a","a","b","a"
"3614","b","c","c","b","a"
"3615","c","c","a","c","b"
"3616","b","c","a","c","b"
"3617","c","c","a","b","c"
"3618","c","c","b","b","a"
"3619","b","c","a","b","c"
"3620","c","c","b","b","b"
"3621","a","a","a","a","a"
"3622","b","a","a","b","a"
"3623","a","a","a","b","a"
"3624","b","c","a","b","b"
"3625","c","c","a","c","b"
"3626","c","c","a","c","b"
"3627","a","c","a","a","c"
"3628","c","c","a","c","b"
"3629","b","b","a","b","a"
"3630","c","c","b","c","c"
"3631","a","a","a","a","b"
"3632","a","a","a","a","a"
"3633","b","c","a","b","a"
"3634","c","c","a","c","c"
"3635","b","c","a","c","c"
"3636","b","c","a","b","c"
"3637","b","a","c","b","c"
"3638","a","a","a","a","b"
"3639","b","b","b","a","c"
"3640","a","a","a","a","a"
"3641","c","c","a","c","c"
"3642","b","c","a","b","c"
"3643","c","c","a","c","c"
"3644","a","a","a","a","a"
"3645","b","a","a","b","b"
"3646","b","b","b","a","c"
"3647","b","b","b","a","b"
"3648","b","a","a","b","a"
"3649","c","c","b","a","c"
"3650","a","a","a","a","a"
"3651","b","a","b","a","a"
"3652","c","b","a","c","c"
"3653","a","a","c","a","b"
"3654","b","a","a","c","b"
"3655","b","c","a","b","c"
"3656","a","a","a","a","a"
"3657","c","c","b","b","b"
"3658","b","c","b","a","c"
"3659","c","c","b","c","c"
"3660","b","c","b","a","b"
"3661","c","c","a","c","c"
"3662","a","c","b","c","c"
"3663","b","a","a","c","b"
"3664","b","c","c","a","c"
"3665","b","c","c","b","c"
"3666","c","c","a","c","b"
"3667","a","a","a","c","a"
"3668","c","c","a","c","c"
"3669","c","c","a","c","a"
"3670","a","a","a","c","b"
"3671","c","c","a","a","c"
"3672","b","b","a","b","a"
"3673","a","b","a","c","c"
"3674","c","c","a","c","b"
"3675","c","a","a","c","a"
"3676","a","a","a","a","a"
"3677","c","c","a","c","c"
"3678","b","b","a","b","c"
"3679","b","c","c","b","c"
"3680","b","a","b","a","a"
"3681","a","c","a","c","b"
"3682","a","a","a","a","a"
"3683","c","a","b","b","a"
"3684","b","a","b","a","b"
"3685","c","c","b","c","b"
"3686","a","a","b","c","c"
"3687","c","c","a","a","c"
"3688","b","a","a","a","a"
"3689","b","b","a","b","c"
"3690","a","a","a","a","c"
"3691","b","c","a","b","c"
"3692","c","c","a","b","c"
"3693","a","c","b","c","c"
"3694","b","c","b","a","a"
"3695","b","a","a","a","a"
"3696","c","c","a","c","a"
"3697","b","a","a","b","c"
"3698","a","a","b","c","a"
"3699","a","a","a","a","a"
"3700","c","c","a","c","c"
"3701","c","c","b","b","c"
"3702","c","c","a","c","c"
"3703","a","b","a","b","a"
"3704","b","a","a","b","b"
"3705","b","b","a","b","c"
"3706","b","c","a","b","b"
"3707","a","a","a","a","b"
"3708","a","a","a","a","a"
"3709","c","c","a","c","b"
"3710","c","c","a","c","b"
"3711","b","b","a","b","b"
"3712","a","c","a","a","c"
"3713","c","c","a","c","c"
"3714","c","c","a","c","c"
"3715","c","c","a","c","c"
"3716","a","c","a","a","c"
"3717","a","a","a","b","b"
"3718","b","a","b","b","b"
"3719","b","a","a","b","b"
"3720","c","c","a","a","c"
"3721","b","a","b","a","a"
"3722","b","b","a","b","a"
"3723","c","c","a","c","c"
"3724","b","b","b","a","a"
"3725","b","b","a","b","c"
"3726","b","b","c","c","a"
"3727","c","c","b","c","c"
"3728","a","a","a","b","b"
"3729","a","a","a","a","a"
"3730","b","a","b","a","c"
"3731","b","a","a","b","b"
"3732","c","c","a","b","a"
"3733","a","a","b","c","c"
"3734","b","c","a","b","c"
"3735","c","c","a","b","c"
"3736","c","c","a","c","b"
"3737","b","a","b","a","a"
"3738","c","c","a","b","c"
"3739","a","a","a","a","a"
"3740","a","b","a","a","a"
"3741","a","a","a","a","b"
"3742","b","c","a","b","c"
"3743","b","b","a","b","c"
"3744","b","b","a","b","a"
"3745","b","a","b","a","a"
"3746","c","c","b","a","c"
"3747","a","b","a","a","c"
"3748","a","a","a","a","b"
"3749","b","a","b","a","b"
"3750","a","a","b","c","a"
"3751","a","a","a","c","a"
"3752","b","b","a","b","c"
"3753","c","c","b","c","c"
"3754","c","a","a","c","b"
"3755","a","a","a","a","b"
"3756","c","c","a","c","c"
"3757","c","c","a","c","c"
"3758","a","a","a","b","a"
"3759","a","a","a","a","a"
"3760","b","a","a","b","c"
"3761","a","a","a","a","b"
"3762","a","a","a","a","b"
"3763","c","b","a","c","b"
"3764","c","a","a","c","a"
"3765","b","a","a","b","a"
"3766","b","c","a","b","c"
"3767","a","a","a","a","a"
"3768","c","b","a","b","c"
"3769","a","c","a","a","a"
"3770","b","a","a","b","b"
"3771","a","c","a","a","a"
"3772","b","a","a","b","a"
"3773","b","a","a","b","a"
"3774","b","c","b","a","c"
"3775","b","c","a","b","c"
"3776","c","c","a","c","c"
"3777","b","a","b","b","b"
"3778","c","c","a","c","c"
"3779","a","a","a","c","b"
"3780","c","c","a","c","a"
"3781","b","a","a","c","a"
"3782","a","a","b","c","a"
"3783","b","b","b","a","a"
"3784","a","a","a","a","b"
"3785","a","c","a","a","b"
"3786","a","c","a","a","c"
"3787","a","a","a","a","b"
"3788","c","b","a","c","c"
"3789","c","c","a","c","c"
"3790","b","a","a","b","b"
"3791","a","a","a","a","a"
"3792","a","a","a","a","a"
"3793","c","c","a","a","b"
"3794","b","a","b","a","a"
